,cpu_use,target,timestamp,mem_use_percent,mem_use_amount,file_write_rate,file_read_rate,net_send_rate,file_recieve_rate
0,3.795808718047247,ts-food-map-service,1567083600.0,0.3159637451171875,790474752,0.0,0.0,11196.377342183918,6473.826357296331
1,3.636758097751995,ts-food-map-service,1567083660.0,0.3159027099609375,790343680,0.0,0.0,10828.537333787932,11270.03068530515
2,4.07197475605346,ts-food-map-service,1567083720.0,0.3159141540527344,790323200,0.0,0.0,9968.104675694494,5797.5805697301
3,3.7961562686784633,ts-food-map-service,1567083780.0,0.3159294128417969,790364160,0.0,0.0,10805.086505190311,6304.071510957324
4,3.8211187517371834,ts-food-map-service,1567083840.0,0.31594085693359375,790388736,0.0,0.0,10576.353865233566,6079.1826610760045
5,3.4578084570519643,ts-food-map-service,1567083900.0,0.3159446716308594,790462464,0.0,0.0,10327.889528790956,5804.653664598577
6,3.7978177615865145,ts-food-map-service,1567083960.0,0.31600189208984375,790523904,0.0,0.0,9664.15216111771,5569.499798845009
7,2.881988030555551,ts-food-map-service,1567084020.0,0.31600189208984375,790589440,0.0,0.0,9100.359628091925,5342.1729723408
8,4.946289092396261,ts-food-map-service,1567084080.0,0.3160057067871094,790593536,0.0,0.0,11401.562635082564,6731.455865825193
9,4.424538169512003,ts-food-map-service,1567084140.0,0.3160133361816406,790609920,0.0,0.0,11732.680130170704,6848.9996358039925
10,3.5939194933425176,ts-food-map-service,1567084200.0,0.3160209655761719,790626304,0.0,0.0,9490.567651965608,5520.832442143988
11,3.4920384046764905,ts-food-map-service,1567084260.0,0.3160285949707031,790642688,0.0,0.0,10164.47818355902,5752.724205535038
12,4.082684539154637,ts-food-map-service,1567084320.0,0.3160400390625,790601728,0.0,0.0,11379.728935975809,6785.813735941001
13,3.560322695997161,ts-food-map-service,1567084380.0,0.3160400390625,790609920,0.0,0.0,8562.923987914395,5012.154473654109
14,3.487907433565089,ts-food-map-service,1567084440.0,0.3160285949707031,790577152,0.0,0.0,9418.25104161678,5055.564867582971
15,3.8265194134532705,ts-food-map-service,1567084500.0,0.31603240966796875,790585344,0.0,0.0,10665.271921979473,6128.220689067757
16,2.8589934464200093,ts-food-map-service,1567084560.0,0.316070556640625,790638592,0.0,0.0,9861.859729529098,5662.298679921248
17,3.064234210928205,ts-food-map-service,1567084620.0,0.31607818603515625,790687744,0.0,0.0,10323.6234877545,5909.023310711124
18,3.751731237322452,ts-food-map-service,1567084680.0,0.31609344482421875,790724608,0.0,0.0,10072.42624303693,5824.695688054467
19,3.340782919163385,ts-food-map-service,1567084740.0,0.31609344482421875,790724608,0.0,0.0,9133.178449756197,5078.109073545212
20,3.099018795638185,ts-food-map-service,1567084800.0,0.3160972595214844,790732800,0.0,0.0,10169.744162880535,5601.533079034963
21,4.081301144503502,ts-food-map-service,1567084860.0,0.31610107421875,790740992,0.0,0.0,9000.949398020794,5261.822961844879
22,3.714118724544203,ts-food-map-service,1567084920.0,0.31610107421875,790745088,0.0,0.0,10510.40658921265,6267.092101642865
23,3.9513895303430204,ts-food-map-service,1567084980.0,0.3161048889160156,790749184,0.0,0.0,10869.363781083603,6465.54317395839
24,3.5334827438693264,ts-food-map-service,1567085040.0,0.3161163330078125,790773760,0.0,0.0,9322.729165935134,5291.772395156665
25,2.9883412099391453,ts-food-map-service,1567085100.0,0.31612396240234375,790790144,0.0,0.0,9903.76657451267,5746.024758315872
26,3.506748625216222,ts-food-map-service,1567085160.0,0.316131591796875,790806528,0.0,0.0,8978.842993918899,5139.770580576375
